make,fuel_type,aspiration,num_doors,body_style,drive_wheels,engine_location,engine_type,num_cylinders,fuel_system,body_style_cat
alfa-romero,gas,std,2,convertible,rwd,front,dohc,4,mpfi,0
alfa-romero,gas,std,2,convertible,rwd,front,dohc,4,mpfi,0
alfa-romero,gas,std,2,hatchback,rwd,front,ohcv,6,mpfi,2
audi,gas,std,4,sedan,fwd,front,ohc,4,mpfi,3
audi,gas,std,4,sedan,4wd,front,ohc,5,mpfi,3
audi,gas,std,2,sedan,fwd,front,ohc,5,mpfi,3
audi,gas,std,4,sedan,fwd,front,ohc,5,mpfi,3
audi,gas,std,4,wagon,fwd,front,ohc,5,mpfi,4
audi,gas,turbo,4,sedan,fwd,front,ohc,5,mpfi,3
audi,gas,turbo,2,hatchback,4wd,front,ohc,5,mpfi,2
bmw,gas,std,2,sedan,rwd,front,ohc,4,mpfi,3
bmw,gas,std,4,sedan,rwd,front,ohc,4,mpfi,3
bmw,gas,std,2,sedan,rwd,front,ohc,6,mpfi,3
bmw,gas,std,4,sedan,rwd,front,ohc,6,mpfi,3
bmw,gas,std,4,sedan,rwd,front,ohc,6,mpfi,3
bmw,gas,std,4,sedan,rwd,front,ohc,6,mpfi,3
bmw,gas,std,2,sedan,rwd,front,ohc,6,mpfi,3
bmw,gas,std,4,sedan,rwd,front,ohc,6,mpfi,3
chevrolet,gas,std,2,hatchback,fwd,front,l,3,2bbl,2
chevrolet,gas,std,2,hatchback,fwd,front,ohc,4,2bbl,2
chevrolet,gas,std,4,sedan,fwd,front,ohc,4,2bbl,3
dodge,gas,std,2,hatchback,fwd,front,ohc,4,2bbl,2
dodge,gas,std,2,hatchback,fwd,front,ohc,4,2bbl,2
dodge,gas,turbo,2,hatchback,fwd,front,ohc,4,mpfi,2
dodge,gas,std,4,hatchback,fwd,front,ohc,4,2bbl,2
dodge,gas,std,4,sedan,fwd,front,ohc,4,2bbl,3
dodge,gas,std,4,sedan,fwd,front,ohc,4,2bbl,3
dodge,gas,turbo,4,sedan,fwd,front,ohc,4,mpfi,3
dodge,gas,std,4,wagon,fwd,front,ohc,4,2bbl,4
dodge,gas,turbo,2,hatchback,fwd,front,ohc,4,mfi,2
honda,gas,std,2,hatchback,fwd,front,ohc,4,1bbl,2
honda,gas,std,2,hatchback,fwd,front,ohc,4,1bbl,2
honda,gas,std,2,hatchback,fwd,front,ohc,4,1bbl,2
honda,gas,std,2,hatchback,fwd,front,ohc,4,1bbl,2
honda,gas,std,2,hatchback,fwd,front,ohc,4,1bbl,2
honda,gas,std,4,sedan,fwd,front,ohc,4,1bbl,3
honda,gas,std,4,wagon,fwd,front,ohc,4,1bbl,4
honda,gas,std,2,hatchback,fwd,front,ohc,4,1bbl,2
honda,gas,std,2,hatchback,fwd,front,ohc,4,1bbl,2
honda,gas,std,4,sedan,fwd,front,ohc,4,1bbl,3
honda,gas,std,4,sedan,fwd,front,ohc,4,1bbl,3
honda,gas,std,4,sedan,fwd,front,ohc,4,mpfi,3
honda,gas,std,2,sedan,fwd,front,ohc,4,2bbl,3
isuzu,gas,std,4,sedan,rwd,front,ohc,4,2bbl,3
isuzu,gas,std,2,sedan,fwd,front,ohc,4,2bbl,3
isuzu,gas,std,4,sedan,fwd,front,ohc,4,2bbl,3
isuzu,gas,std,2,hatchback,rwd,front,ohc,4,spfi,2
jaguar,gas,std,4,sedan,rwd,front,dohc,6,mpfi,3
jaguar,gas,std,4,sedan,rwd,front,dohc,6,mpfi,3
jaguar,gas,std,2,sedan,rwd,front,ohcv,12,mpfi,3
mazda,gas,std,2,hatchback,fwd,front,ohc,4,2bbl,2
mazda,gas,std,2,hatchback,fwd,front,ohc,4,2bbl,2
mazda,gas,std,2,hatchback,fwd,front,ohc,4,2bbl,2
mazda,gas,std,4,sedan,fwd,front,ohc,4,2bbl,3
mazda,gas,std,4,sedan,fwd,front,ohc,4,2bbl,3
mazda,gas,std,2,hatchback,rwd,front,rotor,2,4bbl,2
mazda,gas,std,2,hatchback,rwd,front,rotor,2,4bbl,2
mazda,gas,std,2,hatchback,rwd,front,rotor,2,4bbl,2
mazda,gas,std,2,hatchback,rwd,front,rotor,2,mpfi,2
mazda,gas,std,2,hatchback,fwd,front,ohc,4,2bbl,2
mazda,gas,std,4,sedan,fwd,front,ohc,4,2bbl,3
mazda,gas,std,2,hatchback,fwd,front,ohc,4,2bbl,2
mazda,gas,std,4,sedan,fwd,front,ohc,4,2bbl,3
mazda,diesel,std,4,sedan,fwd,front,ohc,4,idi,3
mazda,gas,std,4,hatchback,fwd,front,ohc,4,2bbl,2
mazda,gas,std,4,sedan,rwd,front,ohc,4,mpfi,3
mazda,diesel,std,4,sedan,rwd,front,ohc,4,idi,3
mercedes-benz,diesel,turbo,4,sedan,rwd,front,ohc,5,idi,3
mercedes-benz,diesel,turbo,4,wagon,rwd,front,ohc,5,idi,4
mercedes-benz,diesel,turbo,2,hardtop,rwd,front,ohc,5,idi,1
mercedes-benz,diesel,turbo,4,sedan,rwd,front,ohc,5,idi,3
mercedes-benz,gas,std,4,sedan,rwd,front,ohcv,8,mpfi,3
mercedes-benz,gas,std,2,convertible,rwd,front,ohcv,8,mpfi,0
mercedes-benz,gas,std,4,sedan,rwd,front,ohcv,8,mpfi,3
mercedes-benz,gas,std,2,hardtop,rwd,front,ohcv,8,mpfi,1
mercury,gas,turbo,2,hatchback,rwd,front,ohc,4,mpfi,2
mitsubishi,gas,std,2,hatchback,fwd,front,ohc,4,2bbl,2
mitsubishi,gas,std,2,hatchback,fwd,front,ohc,4,2bbl,2
mitsubishi,gas,std,2,hatchback,fwd,front,ohc,4,2bbl,2
mitsubishi,gas,turbo,2,hatchback,fwd,front,ohc,4,spdi,2
mitsubishi,gas,turbo,2,hatchback,fwd,front,ohc,4,spdi,2
mitsubishi,gas,std,2,hatchback,fwd,front,ohc,4,2bbl,2
mitsubishi,gas,turbo,2,hatchback,fwd,front,ohc,4,spdi,2
mitsubishi,gas,turbo,2,hatchback,fwd,front,ohc,4,spdi,2
mitsubishi,gas,turbo,2,hatchback,fwd,front,ohc,4,spdi,2
mitsubishi,gas,std,4,sedan,fwd,front,ohc,4,2bbl,3
mitsubishi,gas,std,4,sedan,fwd,front,ohc,4,2bbl,3
mitsubishi,gas,turbo,4,sedan,fwd,front,ohc,4,spdi,3
mitsubishi,gas,std,4,sedan,fwd,front,ohc,4,spdi,3
nissan,gas,std,2,sedan,fwd,front,ohc,4,2bbl,3
nissan,diesel,std,2,sedan,fwd,front,ohc,4,idi,3
nissan,gas,std,2,sedan,fwd,front,ohc,4,2bbl,3
nissan,gas,std,4,sedan,fwd,front,ohc,4,2bbl,3
nissan,gas,std,4,wagon,fwd,front,ohc,4,2bbl,4
nissan,gas,std,2,sedan,fwd,front,ohc,4,2bbl,3
nissan,gas,std,2,hatchback,fwd,front,ohc,4,2bbl,2
nissan,gas,std,4,sedan,fwd,front,ohc,4,2bbl,3
nissan,gas,std,4,wagon,fwd,front,ohc,4,2bbl,4
nissan,gas,std,2,hardtop,fwd,front,ohc,4,2bbl,1
nissan,gas,std,4,hatchback,fwd,front,ohc,4,2bbl,2
nissan,gas,std,4,sedan,fwd,front,ohc,4,2bbl,3
nissan,gas,std,4,sedan,fwd,front,ohcv,6,mpfi,3
nissan,gas,std,4,wagon,fwd,front,ohcv,6,mpfi,4
nissan,gas,std,4,sedan,fwd,front,ohcv,6,mpfi,3
nissan,gas,std,2,hatchback,rwd,front,ohcv,6,mpfi,2
nissan,gas,turbo,2,hatchback,rwd,front,ohcv,6,mpfi,2
nissan,gas,std,2,hatchback,rwd,front,ohcv,6,mpfi,2
peugot,gas,std,4,sedan,rwd,front,l,4,mpfi,3
peugot,diesel,turbo,4,sedan,rwd,front,l,4,idi,3
peugot,gas,std,4,wagon,rwd,front,l,4,mpfi,4
peugot,diesel,turbo,4,wagon,rwd,front,l,4,idi,4
peugot,gas,std,4,sedan,rwd,front,l,4,mpfi,3
peugot,diesel,turbo,4,sedan,rwd,front,l,4,idi,3
peugot,gas,std,4,wagon,rwd,front,l,4,mpfi,4
peugot,diesel,turbo,4,wagon,rwd,front,l,4,idi,4
peugot,gas,std,4,sedan,rwd,front,l,4,mpfi,3
peugot,diesel,turbo,4,sedan,rwd,front,l,4,idi,3
peugot,gas,turbo,4,sedan,rwd,front,l,4,mpfi,3
plymouth,gas,std,2,hatchback,fwd,front,ohc,4,2bbl,2
plymouth,gas,turbo,2,hatchback,fwd,front,ohc,4,spdi,2
plymouth,gas,std,4,hatchback,fwd,front,ohc,4,2bbl,2
plymouth,gas,std,4,sedan,fwd,front,ohc,4,2bbl,3
plymouth,gas,std,4,sedan,fwd,front,ohc,4,2bbl,3
plymouth,gas,std,4,wagon,fwd,front,ohc,4,2bbl,4
plymouth,gas,turbo,2,hatchback,rwd,front,ohc,4,spdi,2
porsche,gas,std,2,hatchback,rwd,front,ohc,4,mpfi,2
porsche,gas,std,2,hardtop,rwd,rear,ohcf,6,mpfi,1
porsche,gas,std,2,hardtop,rwd,rear,ohcf,6,mpfi,1
porsche,gas,std,2,convertible,rwd,rear,ohcf,6,mpfi,0
porsche,gas,std,2,hatchback,rwd,front,dohcv,8,mpfi,2
renault,gas,std,4,wagon,fwd,front,ohc,4,mpfi,4
renault,gas,std,2,hatchback,fwd,front,ohc,4,mpfi,2
saab,gas,std,2,hatchback,fwd,front,ohc,4,mpfi,2
saab,gas,std,4,sedan,fwd,front,ohc,4,mpfi,3
saab,gas,std,2,hatchback,fwd,front,ohc,4,mpfi,2
saab,gas,std,4,sedan,fwd,front,ohc,4,mpfi,3
saab,gas,turbo,2,hatchback,fwd,front,dohc,4,mpfi,2
saab,gas,turbo,4,sedan,fwd,front,dohc,4,mpfi,3
subaru,gas,std,2,hatchback,fwd,front,ohcf,4,2bbl,2
subaru,gas,std,2,hatchback,fwd,front,ohcf,4,2bbl,2
subaru,gas,std,2,hatchback,4wd,front,ohcf,4,2bbl,2
subaru,gas,std,4,sedan,fwd,front,ohcf,4,2bbl,3
subaru,gas,std,4,sedan,fwd,front,ohcf,4,2bbl,3
subaru,gas,std,4,sedan,fwd,front,ohcf,4,mpfi,3
subaru,gas,std,4,sedan,4wd,front,ohcf,4,2bbl,3
subaru,gas,turbo,4,sedan,4wd,front,ohcf,4,mpfi,3
subaru,gas,std,4,wagon,fwd,front,ohcf,4,2bbl,4
subaru,gas,std,4,wagon,fwd,front,ohcf,4,mpfi,4
subaru,gas,std,4,wagon,4wd,front,ohcf,4,2bbl,4
subaru,gas,turbo,4,wagon,4wd,front,ohcf,4,mpfi,4
toyota,gas,std,2,hatchback,fwd,front,ohc,4,2bbl,2
toyota,gas,std,2,hatchback,fwd,front,ohc,4,2bbl,2
toyota,gas,std,4,hatchback,fwd,front,ohc,4,2bbl,2
toyota,gas,std,4,wagon,fwd,front,ohc,4,2bbl,4
toyota,gas,std,4,wagon,4wd,front,ohc,4,2bbl,4
toyota,gas,std,4,wagon,4wd,front,ohc,4,2bbl,4
toyota,gas,std,4,sedan,fwd,front,ohc,4,2bbl,3
toyota,gas,std,4,hatchback,fwd,front,ohc,4,2bbl,2
toyota,diesel,std,4,sedan,fwd,front,ohc,4,idi,3
toyota,diesel,std,4,hatchback,fwd,front,ohc,4,idi,2
toyota,gas,std,4,sedan,fwd,front,ohc,4,2bbl,3
toyota,gas,std,4,hatchback,fwd,front,ohc,4,2bbl,2
toyota,gas,std,4,sedan,fwd,front,ohc,4,2bbl,3
toyota,gas,std,2,sedan,rwd,front,ohc,4,2bbl,3
toyota,gas,std,2,hatchback,rwd,front,ohc,4,2bbl,2
toyota,gas,std,2,sedan,rwd,front,dohc,4,mpfi,3
toyota,gas,std,2,hatchback,rwd,front,dohc,4,mpfi,2
toyota,gas,std,2,hardtop,rwd,front,ohc,4,mpfi,1
toyota,gas,std,2,hardtop,rwd,front,ohc,4,mpfi,1
toyota,gas,std,2,hatchback,rwd,front,ohc,4,mpfi,2
toyota,gas,std,2,hardtop,rwd,front,ohc,4,mpfi,1
toyota,gas,std,2,hatchback,rwd,front,ohc,4,mpfi,2
toyota,gas,std,2,convertible,rwd,front,ohc,4,mpfi,0
toyota,gas,std,4,sedan,fwd,front,ohc,4,mpfi,3
toyota,diesel,turbo,4,sedan,fwd,front,ohc,4,idi,3
toyota,gas,std,4,hatchback,fwd,front,ohc,4,mpfi,2
toyota,gas,std,4,sedan,fwd,front,ohc,4,mpfi,3
toyota,gas,std,4,hatchback,fwd,front,ohc,4,mpfi,2
toyota,gas,std,2,hatchback,rwd,front,dohc,6,mpfi,2
toyota,gas,std,2,hatchback,rwd,front,dohc,6,mpfi,2
toyota,gas,std,4,sedan,rwd,front,dohc,6,mpfi,3
toyota,gas,std,4,wagon,rwd,front,dohc,6,mpfi,4
volkswagen,diesel,std,2,sedan,fwd,front,ohc,4,idi,3
volkswagen,gas,std,2,sedan,fwd,front,ohc,4,mpfi,3
volkswagen,diesel,std,4,sedan,fwd,front,ohc,4,idi,3
volkswagen,gas,std,4,sedan,fwd,front,ohc,4,mpfi,3
volkswagen,gas,std,4,sedan,fwd,front,ohc,4,mpfi,3
volkswagen,diesel,turbo,4,sedan,fwd,front,ohc,4,idi,3
volkswagen,gas,std,4,sedan,fwd,front,ohc,4,mpfi,3
volkswagen,gas,std,2,convertible,fwd,front,ohc,4,mpfi,0
volkswagen,gas,std,2,hatchback,fwd,front,ohc,4,mpfi,2
volkswagen,gas,std,4,sedan,fwd,front,ohc,5,mpfi,3
volkswagen,diesel,turbo,4,sedan,fwd,front,ohc,4,idi,3
volkswagen,gas,std,4,wagon,fwd,front,ohc,4,mpfi,4
volvo,gas,std,4,sedan,rwd,front,ohc,4,mpfi,3
volvo,gas,std,4,wagon,rwd,front,ohc,4,mpfi,4
volvo,gas,std,4,sedan,rwd,front,ohc,4,mpfi,3
volvo,gas,std,4,wagon,rwd,front,ohc,4,mpfi,4
volvo,gas,turbo,4,sedan,rwd,front,ohc,4,mpfi,3
volvo,gas,turbo,4,wagon,rwd,front,ohc,4,mpfi,4
volvo,gas,std,4,sedan,rwd,front,ohc,4,mpfi,3
volvo,gas,turbo,4,sedan,rwd,front,ohc,4,mpfi,3
volvo,gas,std,4,sedan,rwd,front,ohcv,6,mpfi,3
volvo,diesel,turbo,4,sedan,rwd,front,ohc,6,idi,3
volvo,gas,turbo,4,sedan,rwd,front,ohc,4,mpfi,3
